"EventID";"eventRemarks";"date";"year";"locationID";"stateProvince";"municipality";"locality";"verbatimLocality";"sampleSizeValue";"sampleSizeUnit";"rodentOcc"
"E4405579-33CE-4F4E-BD09-30269257658D";"LineTransect";"2021-08-05";2021;"184CA4CD-11D7-4D22-9A58-2959843881F2";"Sør-Trøndelag";"Åfjord";"Åfjord utmarkslag";"Åfjord";2500;"metre";0
"B6F6AE76-0E79-4C42-9689-BC4107B925A5";"LineTransect";"2021-08-04";2021;"D9AC95DD-8030-4B79-92F4-84E4F022E531";"Sør-Trøndelag";"Holtålen";"Berghøgda";"Ålen og Haltdalen Fjellstyre";3709;"metre";1
"9C548570-D378-4EA8-AC67-BD56467BEA7B";"LineTransect";"2021-08-04";2021;"75D56EA9-8BAA-468F-B55E-A4C912ED5913";"Sør-Trøndelag";"Holtålen";"Berghøgda";"Ålen og Haltdalen Fjellstyre";3540;"metre";1
"360A01CF-F022-49B9-AF44-BA11EA24D10D";"LineTransect";"2021-08-06";2021;"6D5043B9-8BB2-4C7B-9313-0452986CFACB";"Oppland";"Sør-Fron";"Fron Fjellstyre";"Fron Fjellstyre";349;"metre";0
"5ABB8C29-CC23-49D4-A6E1-0FA97AF44843";"LineTransect";"2021-08-06";2021;"0B044015-C1CB-4429-A922-AC755A195FA7";"Sør-Trøndelag";"Selbu";"Selbu Fjellstyre";"Selbu Fjellstyre";4613;"metre";1
"E03C8FBB-7383-452C-AE74-1D4A8520F990";"LineTransect";"2021-08-06";2021;"9B046C74-53CB-4C65-BF9A-48C62850ACD7";"Nord-Trøndelag";"Lierne";"Lierne Fjellst. Vest";"Lierne Fjellstyre";2008;"metre";0
"C7F6C47C-F489-433F-9773-B03DFD6B662E";"LineTransect";"2021-08-06";2021;"4F665264-9F53-4F5B-858F-F744040CC2AC";"Hedmark";"Stor-Elvdal";"Sollia";"Sollia Fjellstyre";2462;"metre";0
"41593AB7-EF66-4E63-87F3-2ECC3152685B";"LineTransect";"2021-08-06";2021;"83439B33-0B01-4B0C-846E-C91ED39C3ED9";"Buskerud";"Lier";"Finnemarka";"Finnemarka";987;"metre";0
"CDEA6F66-4C92-4130-8983-9278C6060B36";"LineTransect";"2021-08-06";2021;"92AC84C7-EC7C-4DA1-BDC7-626D653873D4";"Buskerud";"Lier";"Finnemarka";"Finnemarka";959;"metre";0
"6357BA0C-BBAE-4988-89A6-B29E5F48AA3D";"LineTransect";"2021-08-06";2021;"5C3DD9DD-3AF1-4E89-BC69-A59E6D23E4A1";"Sør-Trøndelag";"Midtre Gauldal";"Risknappan";"Budal Fjellstyre";1634;"metre";0
"3C2DE104-507E-4C21-A92E-41C930F27EF1";"LineTransect";"2021-08-06";2021;"BB84ECD6-968D-4F9E-88A4-ACB99CAC1B1A";"Oppland";"Lesja";"Dalsia";"Lesja Fjellstyre";1255;"metre";0
"D7E824F5-B021-4467-AD9E-0C4F8425A041";"LineTransect";"2021-08-06";2021;"633E5191-C7D1-4BCA-B299-B75DAAB5EE90";"Hedmark";"Os (Hedmark)";"Os Fjellstyre";"Os Fjellstyre";500;"metre";0
"F58E100B-6B5B-4C7E-80BC-509E0232EB58";"LineTransect";"2021-08-06";2021;"EA03B24A-15B2-471C-879E-112A0D8FB201";"Hedmark";"Stor-Elvdal";"Sollia";"Sollia Fjellstyre";4133;"metre";0
"3258A7CF-5801-4715-9415-5D2E0A18444A";"LineTransect";"2021-08-06";2021;"B62EA2A5-28F1-4983-8D56-C04806DFED43";"Oppland";"Dovre";"Kongsvoll";"Kongsvoll";2462;"metre";0
"AA85162B-6FBD-48E7-A89F-18B82D99DCBC";"LineTransect";"2021-08-06";2021;"B2360049-0783-44F0-884F-4FA91F970842";"Oppland";"Dovre";"Kongsvoll";"Kongsvoll";2088;"metre";0
"72E35A33-39E2-44DB-B503-2AE22335CB58";"LineTransect";"2021-08-06";2021;"9FD569C4-9AAC-4672-8D6E-C267133F97B3";"Hedmark";"Os (Hedmark)";"Os Fjellstyre";"Os Fjellstyre";954;"metre";1
