"Area","Parameter","N_years","50%","2.5%","25%","75%","97.5%","Evidence"
"Soknedal Fjellstyre","Recruitment",6,0.115432611250711,-0.320061505280332,-0.0440694592773864,0.27257376135992,0.561503619605502,"-"
"Soknedal Fjellstyre","Survival",6,-0.0658558387557846,-0.676882172140861,-0.418144307916479,0.271482875554767,0.641935153624544,"-"
"Sollia Fjellstyre","Lambda",12,-0.829572018662612,-0.917583114634199,-0.863429792445836,-0.793297636171905,-0.714934569781108,"**"
"Sollia Fjellstyre","Recruitment",12,0.288157035357628,0.0201695548958547,0.196142149777143,0.376526475257884,0.536435834280442,"**"
"Sollia Fjellstyre","Survival",12,-0.73528662080425,-0.872502133581863,-0.790197800598193,-0.666725973235398,-0.49658928296126,"**"
"Statskog og Klinga utm.","Lambda",10,-0.544711174334831,-0.712773996418013,-0.608068968972362,-0.481113868603745,-0.358508057510545,"**"
"Statskog og Klinga utm.","Recruitment",10,0.0549450089190298,-0.439092308526384,-0.125088348967849,0.239782454333592,0.575042749245015,"-"
"Statskog og Klinga utm.","Survival",10,-0.221990188354964,-0.622966496542117,-0.39959939192644,0.00151911339712466,0.414864815270074,"-"
"Statskog Røros","Lambda",8,-0.728491103323908,-0.864560863595053,-0.779122118643358,-0.676838612230872,-0.583908783318191,"**"
"Statskog Røros","Recruitment",8,0.774422487163522,0.531679032475922,0.701389714189824,0.836286578799054,0.924212920357681,"**"
"Statskog Røros","Survival",8,-0.678059412689841,-0.856278402824251,-0.7505963569657,-0.581975169636031,-0.352064167220875,"**"
"Steinkjer Lirype","Lambda",15,-0.254451579326027,-0.32060095233502,-0.275635349780843,-0.234874939491599,-0.198104467514389,"**"
"Steinkjer Lirype","Recruitment",15,0.545943469904676,0.266795693098397,0.473885901330793,0.603775601266836,0.695088680661086,"**"
"Steinkjer Lirype","Survival",15,-0.493935802587557,-0.666632034433718,-0.560062368429169,-0.40480969729673,-0.204028894147621,"**"
"Stjørdal Fjellstyre","Lambda",14,-0.451595468562911,-0.589036009941681,-0.502182787110976,-0.399971152358588,-0.287141076953003,"**"
"Stjørdal Fjellstyre","Recruitment",14,0.388056675157029,0.187293161971111,0.31970746713719,0.45363489374038,0.571223691934779,"**"
"Stjørdal Fjellstyre","Survival",14,-0.359306389962382,-0.633559947662069,-0.495655149871152,-0.187146798472196,0.117379947750198,"*"
"Vest Finnmark kyst","Lambda",15,-0.606554753510513,-0.665808912243308,-0.62697798809167,-0.587096293488867,-0.548939125625691,"**"
"Vest Finnmark kyst","Recruitment",15,0.859052396224067,0.780090929380469,0.833872479497424,0.881768912780497,0.919196835930453,"**"
"Vest Finnmark kyst","Survival",15,-0.769800335736492,-0.85880638449933,-0.803651412570084,-0.727209523494758,-0.595075233282043,"**"
"Vestre Slidre Fjellstyre","Lambda",13,-0.443866335279189,-0.534387406757995,-0.473858212762763,-0.414711330678704,-0.362703537135498,"**"
"Vestre Slidre Fjellstyre","Recruitment",13,0.061815279790744,-0.14796282049232,-0.0119681499787547,0.134417820435142,0.270533979783327,"-"
"Vestre Slidre Fjellstyre","Survival",13,-0.3586916498041,-0.488179599229797,-0.405386067642581,-0.307733071969691,-0.196251940851506,"**"
"Ytre Salten","Lambda",13,-0.618510986727709,-0.73353369799351,-0.657381127178302,-0.581307431009477,-0.512028739353415,"**"
"Ytre Salten","Recruitment",13,-0.25367139645476,-0.488555599432158,-0.336234119116354,-0.168845233104033,0.0121269959439489,"*"
"Ytre Salten","Survival",13,-0.543712679388321,-0.687316111270252,-0.59483992108339,-0.487361817706125,-0.368092056128519,"**"
