"Area","Parameter","N_years","50%","2.5%","25%","75%","97.5%","Evidence"
"Kvikne Fjellstyre","Lambda",15,-0.663522272280838,-0.73353173270914,-0.687483364712092,-0.640239661248817,-0.594530702102621,"**"
"Kvikne Fjellstyre","Recruitment",15,0.706357384756713,0.636692379214958,0.683540735042831,0.728827046821754,0.768915394354961,"**"
"Kvikne Fjellstyre","Survival",15,-0.698859598973456,-0.765748663446202,-0.721345511764618,-0.676155536633493,-0.63318746337536,"**"
"Lesja Fjellstyre","Lambda",15,-0.424406191720435,-0.539603955188513,-0.463073358726555,-0.385698697415039,-0.307706517409354,"**"
"Lesja Fjellstyre","Recruitment",15,0.384088321104834,0.201602407249918,0.321399709528943,0.447975318222305,0.562209254654462,"**"
"Lesja Fjellstyre","Survival",15,-0.399841049653342,-0.550441158395488,-0.452626266835884,-0.342780600368565,-0.211096265922228,"**"
"Lierne Fjellstyre","Lambda",15,-0.299944156730825,-0.425954630548409,-0.338730230082934,-0.263985689852564,-0.202941868608926,"**"
"Lierne Fjellstyre","Recruitment",15,0.216662120174556,0.120665168689034,0.182026566436463,0.251862448628052,0.326139001166343,"**"
"Lierne Fjellstyre","Survival",15,-0.41512648258381,-0.532493008177661,-0.452446810675624,-0.378988310554022,-0.315499262007567,"**"
"Midtre Salten","Lambda",13,-0.541658394364839,-0.622872730045563,-0.568259504569268,-0.513683211785064,-0.458253525438742,"**"
"Midtre Salten","Recruitment",13,0.436451484539735,0.223952674383545,0.366487872090277,0.50546413639073,0.627331754170058,"**"
"Midtre Salten","Survival",13,-0.658825061011733,-0.748410894798459,-0.689353772522297,-0.628502810814427,-0.563459753908252,"**"
"Namdalseid Fjellstyre","Lambda",5,-0.53739542059032,-0.953133784607084,-0.723143767839061,-0.258280577450225,0.640889281626326,"*"
"Namdalseid Fjellstyre","Recruitment",5,0.439395009072941,-0.458666182899593,0.149221453117081,0.675072596319177,0.930348642388571,"*"
"Namdalseid Fjellstyre","Survival",5,-0.834009201237354,-0.993391981185172,-0.929115478313531,-0.695123257326497,-0.0763076866249274,"**"
"Namskogan Fjellstyre","Lambda",15,-0.419913017533318,-0.499170681900487,-0.44551675101048,-0.396417542434441,-0.356552002742036,"**"
"Namskogan Fjellstyre","Recruitment",15,0.552734639296025,0.376814785118779,0.49451781182617,0.607136290163164,0.698147086050895,"**"
"Namskogan Fjellstyre","Survival",15,-0.586560741286899,-0.705968973855976,-0.626949464222801,-0.547369016162311,-0.475986472911229,"**"
"Njardarheim","Lambda",11,-0.672686714294999,-0.773231927346089,-0.710315225392533,-0.630385961171295,-0.537337017322773,"**"
"Njardarheim","Recruitment",11,0.574264857948209,0.374209886320656,0.508390439169743,0.636874515069415,0.739025889214453,"**"
"Njardarheim","Survival",11,-0.620028307201314,-0.751837058080137,-0.670405476049333,-0.564573471854742,-0.425370977155391,"**"
"Nordre Salten","Lambda",5,-0.905512194137089,-0.996449471212993,-0.961210493792121,-0.787154388414056,-0.0506864921697624,"**"
"Nordre Salten","Recruitment",5,0.654841733724184,-0.253000525747576,0.413471918855492,0.820690082996111,0.96608765272751,"*"
"Nordre Salten","Survival",5,-0.869387613231754,-0.996020730230669,-0.949669280725852,-0.718777457407399,-0.0677745809606785,"**"
"Os Fjellstyre","Lambda",7,-0.768609083712985,-0.856138014205055,-0.799785774784379,-0.738213828404409,-0.668696239285545,"**"
"Os Fjellstyre","Recruitment",7,0.702818087473658,0.433542031840681,0.619188674826582,0.777938210696373,0.890461203733755,"**"
"Os Fjellstyre","Survival",7,-0.738271357170337,-0.881025211488466,-0.787360435201825,-0.689110943336362,-0.589384192241501,"**"
"Osen Fjellstyre","Lambda",6,-0.716962975097576,-0.91353558651197,-0.793368887044282,-0.63674884897931,-0.483137751363535,"**"
"Osen Fjellstyre","Recruitment",6,0.47687359980814,-0.193403330814628,0.253809653379962,0.662781458949778,0.892242469035559,"*"
"Osen Fjellstyre","Survival",6,-0.762889983396486,-0.946987600154175,-0.839570864940056,-0.679677697940799,-0.497687746003491,"**"
"Øst Finnmark","Lambda",15,-0.650272622436253,-0.715672884165025,-0.672984305446048,-0.627979831277488,-0.584282640602275,"**"
"Øst Finnmark","Recruitment",15,0.59238274565677,0.438863499240088,0.539794721489695,0.644062547737316,0.73837369403284,"**"
"Øst Finnmark","Survival",15,-0.693112933162537,-0.789405084288978,-0.726806897348975,-0.660062373020063,-0.591549446556879,"**"
"Øvre Numedal Fjellstyre","Lambda",15,-0.209069813290571,-0.276052870992482,-0.232772667652077,-0.184573352625447,-0.132846796038007,"**"
"Øvre Numedal Fjellstyre","Recruitment",15,0.523870494747087,0.417212506660192,0.488730465411751,0.560749172462839,0.628481298883332,"**"
"Øvre Numedal Fjellstyre","Survival",15,-0.44217445958291,-0.551840504882812,-0.477727122378752,-0.408167221472676,-0.346034962378947,"**"
"Øystre Slidre Fjellstyre","Lambda",14,-0.769119197071469,-0.879665546273502,-0.811126808030526,-0.724810138122901,-0.636194944826045,"**"
"Øystre Slidre Fjellstyre","Recruitment",14,0.225092733948186,-0.00263646279051074,0.147778337181741,0.301455645156966,0.440506204851875,"*"
"Øystre Slidre Fjellstyre","Survival",14,-0.638388138360718,-0.78443058983476,-0.693598057624546,-0.574334644958918,-0.433927617356225,"**"
"Regionfelt Østlandet","Lambda",7,-0.783426750719495,-0.96085706984173,-0.86613855117572,-0.690189886512292,-0.556542394126319,"**"
"Regionfelt Østlandet","Recruitment",7,0.363847318812241,-0.282045136520263,0.143500802808367,0.576515437017684,0.856436855647736,"*"
"Regionfelt Østlandet","Survival",7,-0.723979407750782,-0.944523256310068,-0.823343719951488,-0.604340721220817,-0.334218632556295,"**"
"Ringebu Fjellstyre","Lambda",14,-0.552200285979128,-0.644623113645867,-0.582973151300667,-0.520969981648464,-0.46125533272779,"**"
"Ringebu Fjellstyre","Recruitment",14,-0.0892678685265377,-0.245059468331465,-0.142756609206196,-0.0339782605913036,0.0709111082490345,"*"
"Ringebu Fjellstyre","Survival",14,-0.378109401840106,-0.506564537713016,-0.422762172970728,-0.330234827283933,-0.233557132983172,"**"
"Røyrvik Fjellstyre","Lambda",4,-0.948111680872333,-0.99980072553078,-0.983239087270244,-0.897532625378689,-0.812972836699964,"**"
"Røyrvik Fjellstyre","Recruitment",4,0.940953284846853,0.687480085415512,0.882021121577829,0.975931907252036,0.997938908648431,"**"
"Røyrvik Fjellstyre","Survival",4,-0.919109166064144,-0.999719672301264,-0.974845898180893,-0.824221903705229,-0.287073088742443,"**"
"Selbu Fjellstyre","Lambda",14,-0.510819692812614,-0.601988929095144,-0.541658691254421,-0.480802418665278,-0.42587350542586,"**"
"Selbu Fjellstyre","Recruitment",14,0.355323573980241,0.160764350047847,0.289849027749015,0.418915652045352,0.532826533887543,"**"
"Selbu Fjellstyre","Survival",14,-0.526344689844545,-0.612145536159558,-0.555718494833174,-0.495951805291979,-0.435405420992868,"**"
"Snåsa Fjellstyre","Lambda",14,-0.521425661700498,-0.74309373135457,-0.607581102393613,-0.438947031445507,-0.28922268740572,"**"
"Snåsa Fjellstyre","Recruitment",14,0.0396865808707535,-0.132883772793079,-0.0190018790588399,0.0962575554284192,0.212540354372074,"-"
"Snåsa Fjellstyre","Survival",14,-0.425457941554478,-0.635032792159993,-0.503787054769258,-0.348796759019918,-0.203804328551659,"**"
"Soknedal Fjellstyre","Lambda",6,-0.316390057324297,-0.536304154785471,-0.398812753501183,-0.214086398178218,0.120501561966198,"*"
"Soknedal Fjellstyre","Recruitment",6,0.114142624234847,-0.323989223202272,-0.0467666723755814,0.272635602303833,0.553581747744587,"-"
"Soknedal Fjellstyre","Survival",6,-0.343769787332547,-0.613881719918533,-0.44235274753494,-0.231031062242713,0.0910786006028355,"*"
"Sollia Fjellstyre","Lambda",12,-0.830176841939749,-0.919683207986139,-0.863673854802821,-0.794260876279945,-0.718157147928326,"**"
"Sollia Fjellstyre","Recruitment",12,0.291024888704945,0.0239470802475609,0.200512983117885,0.380201113887988,0.535215214245707,"**"
"Sollia Fjellstyre","Survival",12,-0.777038409588181,-0.891391864958636,-0.821316690425412,-0.727133700859482,-0.595299743521383,"**"
"Statskog og Klinga utm.","Lambda",10,-0.547799997689646,-0.713181685712741,-0.608671709527878,-0.486246883357448,-0.357166025446614,"**"
"Statskog og Klinga utm.","Recruitment",10,0.0608845217020307,-0.437340292181149,-0.121003572540574,0.250002808159576,0.581480405749997,"-"
